epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2186,1.37954,4.03717,0.98227,0.00925,0.3343,0.01181,0.00891,0.55139,3.97102,0.81244,0,0,0
2,45.057,1.53778,4.09953,0.95741,0.00928,0.3343,0.01255,0.00993,0.52316,3.94875,0.81179,1.41721e-05,1.41721e-05,1.41721e-05
3,61.1985,1.3404,3.99598,0.94567,0.00945,0.34848,0.01484,0.01192,0.48082,3.91404,0.80321,2.81084e-05,2.81084e-05,2.81084e-05
4,70.2405,1.18392,3.97386,0.93557,0.00938,0.34848,0.01556,0.01257,0.51449,3.88141,0.80078,4.1809e-05,4.1809e-05,4.1809e-05
5,76.8306,0.96721,3.91565,0.87116,0.01068,0.42727,0.01684,0.01259,0.70437,3.8938,0.80978,5.52737e-05,5.52737e-05,5.52737e-05
6,82.3116,0.70965,3.66665,0.84205,0.01442,0.63333,0.01971,0.01297,0.93652,3.91172,0.82317,6.85027e-05,6.85027e-05,6.85027e-05
7,87.4871,0.8134,3.58227,0.85469,0.01706,0.81212,0.02195,0.01364,1.11014,3.89847,0.83933,8.14959e-05,8.14959e-05,8.14959e-05
8,92.4104,0.89516,3.43481,0.84521,0.0199,0.9697,0.0249,0.01566,1.19372,3.86084,0.84853,9.42533e-05,9.42533e-05,9.42533e-05
9,97.43,0.90937,3.3748,0.84054,0.01994,0.9697,0.02579,0.01723,1.15882,3.81645,0.84487,0.000106775,0.000106775,0.000106775
10,102.632,0.84535,3.12576,0.82122,0.0204,0.98485,0.02816,0.02032,1.02567,3.76658,0.83342,0.000119061,0.000119061,0.000119061
11,110.526,0.88514,2.94353,0.85835,0.0205,0.98485,0.03743,0.02616,0.86711,3.71933,0.82062,0.000131111,0.000131111,0.000131111
12,116.436,0.84269,2.6854,0.81435,0.02099,1,0.04715,0.02869,0.75532,3.68016,0.81213,0.000142925,0.000142925,0.000142925
13,121.406,0.85703,2.68776,0.83405,0.02125,1,0.04722,0.02849,0.68695,3.64225,0.80667,0.000154503,0.000154503,0.000154503
14,126.462,0.71108,2.19864,0.798,0.02144,1,0.04712,0.0301,0.65221,3.60067,0.80064,0.000165846,0.000165846,0.000165846
15,131.806,0.69949,1.93037,0.81237,0.02151,1,0.05274,0.03249,0.65219,3.5591,0.79663,0.000176953,0.000176953,0.000176953
16,138.099,0.64038,1.58326,0.82276,0.02154,1,0.1118,0.07808,0.68402,3.50667,0.79573,0.000187824,0.000187824,0.000187824
17,144.385,0.77856,1.48069,0.82059,0.02155,1,0.19996,0.14412,0.72791,3.45493,0.79758,0.00019846,0.00019846,0.00019846
18,150.406,0.62779,1.28293,0.8001,0.02155,1,0.19996,0.14412,0.72791,3.45493,0.79758,0.000208859,0.000208859,0.000208859
19,158.76,0.67374,1.42497,0.82131,0.02152,1,0.2507,0.18245,0.74294,3.37206,0.79906,0.000219023,0.000219023,0.000219023
20,163.867,0.69663,1.38213,0.80089,0.02152,1,0.2507,0.18245,0.74294,3.37206,0.79906,0.000228951,0.000228951,0.000228951
21,169.605,0.64818,1.5741,0.83028,0.0215,1,0.28556,0.21639,0.73597,3.28609,0.79818,0.000238643,0.000238643,0.000238643
22,174.608,0.67671,1.49807,0.79764,0.0215,1,0.28556,0.21639,0.73597,3.28609,0.79818,0.000248099,0.000248099,0.000248099
23,179.636,0.64235,1.32788,0.80454,0.0215,1,0.32373,0.26041,0.7045,3.20762,0.79494,0.00025732,0.00025732,0.00025732
24,184.432,0.62805,1.7581,0.81188,0.0215,1,0.32373,0.26041,0.7045,3.20762,0.79494,0.000266305,0.000266305,0.000266305
25,190.573,0.64072,1.23831,0.80035,0.02158,1,0.36378,0.30632,0.65259,3.15956,0.79422,0.000275054,0.000275054,0.000275054
26,196.243,0.57439,1.12669,0.79513,0.02158,1,0.36378,0.30632,0.65259,3.15956,0.79422,0.000283567,0.000283567,0.000283567
27,201.335,0.62863,1.30836,0.83259,0.0217,1,0.38877,0.33092,0.57771,3.13843,0.79021,0.000291845,0.000291845,0.000291845
28,206.888,0.65851,1.18832,0.80911,0.0217,1,0.38877,0.33092,0.57771,3.13843,0.79021,0.000299886,0.000299886,0.000299886
29,211.763,0.60375,1.26815,0.79354,0.02086,0.91818,0.39161,0.32138,0.5819,3.12782,0.79327,0.000307692,0.000307692,0.000307692
